source_framework,source_item_id,target_expression,notes
pri_2010_disclosure,A1,pri_2010_disclosure:A1,self-reference (PRI is the spine)
pri_2010_disclosure,A2,pri_2010_disclosure:A2,self-reference (PRI is the spine)
pri_2010_disclosure,A3,pri_2010_disclosure:A3,self-reference (PRI is the spine)
pri_2010_disclosure,A4,pri_2010_disclosure:A4,self-reference (PRI is the spine)
pri_2010_disclosure,A5,pri_2010_disclosure:A5,self-reference (PRI is the spine)
pri_2010_disclosure,A6,pri_2010_disclosure:A6,self-reference (PRI is the spine)
pri_2010_disclosure,A7,pri_2010_disclosure:A7,self-reference (PRI is the spine)
pri_2010_disclosure,A8,pri_2010_disclosure:A8,self-reference (PRI is the spine)
pri_2010_disclosure,A9,pri_2010_disclosure:A9,self-reference (PRI is the spine)
pri_2010_disclosure,A10,pri_2010_disclosure:A10,self-reference (PRI is the spine)
pri_2010_disclosure,A11,pri_2010_disclosure:A11,self-reference (PRI is the spine)
pri_2010_disclosure,B1,pri_2010_disclosure:B1,self-reference (PRI is the spine)
pri_2010_disclosure,B2,pri_2010_disclosure:B2,self-reference (PRI is the spine)
pri_2010_disclosure,B3,pri_2010_disclosure:B3,self-reference (PRI is the spine)
pri_2010_disclosure,B4,pri_2010_disclosure:B4,self-reference (PRI is the spine)
pri_2010_disclosure,C0,pri_2010_disclosure:C0,self-reference (PRI is the spine)
pri_2010_disclosure,C1,pri_2010_disclosure:C1,self-reference (PRI is the spine)
pri_2010_disclosure,C2,pri_2010_disclosure:C2,self-reference (PRI is the spine)
pri_2010_disclosure,C3,pri_2010_disclosure:C3,self-reference (PRI is the spine)
pri_2010_disclosure,D0,pri_2010_disclosure:D0,self-reference (PRI is the spine)
pri_2010_disclosure,D1_present,pri_2010_disclosure:D1_present,self-reference (PRI is the spine)
pri_2010_disclosure,D1_value,pri_2010_disclosure:D1_value,self-reference (PRI is the spine)
pri_2010_disclosure,D2_present,pri_2010_disclosure:D2_present,self-reference (PRI is the spine)
pri_2010_disclosure,D2_value,pri_2010_disclosure:D2_value,self-reference (PRI is the spine)
pri_2010_disclosure,E1a,pri_2010_disclosure:E1a,self-reference (PRI is the spine)
pri_2010_disclosure,E1b,pri_2010_disclosure:E1b,self-reference (PRI is the spine)
pri_2010_disclosure,E1c,pri_2010_disclosure:E1c,self-reference (PRI is the spine)
pri_2010_disclosure,E1d,pri_2010_disclosure:E1d,self-reference (PRI is the spine)
pri_2010_disclosure,E1e,pri_2010_disclosure:E1e,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_i,pri_2010_disclosure:E1f_i,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_ii,pri_2010_disclosure:E1f_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_iii,pri_2010_disclosure:E1f_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E1f_iv,pri_2010_disclosure:E1f_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E1g_i,pri_2010_disclosure:E1g_i,self-reference (PRI is the spine)
pri_2010_disclosure,E1g_ii,pri_2010_disclosure:E1g_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_i,pri_2010_disclosure:E1h_i,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_ii,pri_2010_disclosure:E1h_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_iii,pri_2010_disclosure:E1h_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_iv,pri_2010_disclosure:E1h_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_v,pri_2010_disclosure:E1h_v,self-reference (PRI is the spine)
pri_2010_disclosure,E1h_vi,pri_2010_disclosure:E1h_vi,self-reference (PRI is the spine)
pri_2010_disclosure,E1i,pri_2010_disclosure:E1i,self-reference (PRI is the spine)
pri_2010_disclosure,E1j,pri_2010_disclosure:E1j,self-reference (PRI is the spine)
pri_2010_disclosure,E2a,pri_2010_disclosure:E2a,self-reference (PRI is the spine)
pri_2010_disclosure,E2b,pri_2010_disclosure:E2b,self-reference (PRI is the spine)
pri_2010_disclosure,E2c,pri_2010_disclosure:E2c,self-reference (PRI is the spine)
pri_2010_disclosure,E2d,pri_2010_disclosure:E2d,self-reference (PRI is the spine)
pri_2010_disclosure,E2e,pri_2010_disclosure:E2e,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_i,pri_2010_disclosure:E2f_i,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_ii,pri_2010_disclosure:E2f_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_iii,pri_2010_disclosure:E2f_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E2f_iv,pri_2010_disclosure:E2f_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E2g_i,pri_2010_disclosure:E2g_i,self-reference (PRI is the spine)
pri_2010_disclosure,E2g_ii,pri_2010_disclosure:E2g_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_i,pri_2010_disclosure:E2h_i,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_ii,pri_2010_disclosure:E2h_ii,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_iii,pri_2010_disclosure:E2h_iii,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_iv,pri_2010_disclosure:E2h_iv,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_v,pri_2010_disclosure:E2h_v,self-reference (PRI is the spine)
pri_2010_disclosure,E2h_vi,pri_2010_disclosure:E2h_vi,self-reference (PRI is the spine)
pri_2010_disclosure,E2i,pri_2010_disclosure:E2i,self-reference (PRI is the spine)
pri_2010_accessibility,Q1,pri_2010_accessibility:Q1,self-reference (PRI accessibility row)
pri_2010_accessibility,Q2,pri_2010_accessibility:Q2,self-reference (PRI accessibility row)
pri_2010_accessibility,Q3,pri_2010_accessibility:Q3,self-reference (PRI accessibility row)
pri_2010_accessibility,Q4,pri_2010_accessibility:Q4,self-reference (PRI accessibility row)
pri_2010_accessibility,Q5,pri_2010_accessibility:Q5,self-reference (PRI accessibility row)
pri_2010_accessibility,Q6,pri_2010_accessibility:Q6,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7a,pri_2010_accessibility:Q7a,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7b,pri_2010_accessibility:Q7b,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7c,pri_2010_accessibility:Q7c,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7d,pri_2010_accessibility:Q7d,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7e,pri_2010_accessibility:Q7e,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7f,pri_2010_accessibility:Q7f,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7g,pri_2010_accessibility:Q7g,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7h,pri_2010_accessibility:Q7h,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7i,pri_2010_accessibility:Q7i,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7j,pri_2010_accessibility:Q7j,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7k,pri_2010_accessibility:Q7k,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7l,pri_2010_accessibility:Q7l,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7m,pri_2010_accessibility:Q7m,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7n,pri_2010_accessibility:Q7n,self-reference (PRI accessibility row)
pri_2010_accessibility,Q7o,pri_2010_accessibility:Q7o,self-reference (PRI accessibility row)
pri_2010_accessibility,Q8,pri_2010_accessibility:Q8,self-reference (PRI accessibility row)
